epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7498.21,0.94806,0.92545,1.42201,0.877,0.80516,0.88401,0.66144,0.95845,0.73762,1.45755,0.0011882,0.0011882,0.0011882
43,7675.45,0.95139,0.94132,1.42026,0.88094,0.79162,0.88223,0.66451,0.95699,0.71862,1.46691,0.0011684,0.0011684,0.0011684
44,7853.39,0.93862,0.90726,1.41102,0.87876,0.80238,0.89392,0.66468,0.96688,0.71893,1.45752,0.0011486,0.0011486,0.0011486
45,8030.07,0.93208,0.90072,1.4079,0.90321,0.77117,0.88947,0.66107,0.9532,0.7279,1.45697,0.0011288,0.0011288,0.0011288
46,8207.85,0.93229,0.90466,1.4088,0.88921,0.78603,0.88998,0.66782,0.92615,0.71637,1.4324,0.001109,0.001109,0.001109
47,8384.15,0.92018,0.8809,1.39784,0.87707,0.81426,0.89013,0.67027,0.93127,0.71122,1.42771,0.0010892,0.0010892,0.0010892
48,8562.67,0.91789,0.90018,1.39487,0.85858,0.81188,0.89084,0.66825,0.92707,0.72264,1.42238,0.0010694,0.0010694,0.0010694
49,8740.54,0.92935,0.88377,1.40132,0.89694,0.80089,0.89194,0.66971,0.93187,0.7182,1.43076,0.0010496,0.0010496,0.0010496
50,8918.74,0.91675,0.86842,1.39418,0.91276,0.77729,0.89359,0.67052,0.91607,0.69389,1.43147,0.0010298,0.0010298,0.0010298
51,9098.38,0.91106,0.86538,1.38807,0.88929,0.82318,0.90113,0.67781,0.93855,0.69362,1.43251,0.00101,0.00101,0.00101
52,9278.87,0.90109,0.85586,1.37763,0.89787,0.80386,0.89882,0.68196,0.91808,0.67318,1.41535,0.0009902,0.0009902,0.0009902
53,9457.74,0.90517,0.85817,1.37915,0.89973,0.80832,0.89834,0.67674,0.91752,0.69358,1.42013,0.0009704,0.0009704,0.0009704
54,9637.49,0.90117,0.83985,1.37802,0.90978,0.79792,0.90329,0.68633,0.91356,0.68319,1.41418,0.0009506,0.0009506,0.0009506
55,9816.88,0.89171,0.838,1.37651,0.8942,0.80373,0.90627,0.67344,0.94441,0.68737,1.4598,0.0009308,0.0009308,0.0009308
56,9996.93,0.90041,0.85177,1.38347,0.93065,0.77771,0.90121,0.67762,0.93209,0.68146,1.43929,0.000911,0.000911,0.000911
57,10176,0.89173,0.83678,1.37083,0.90215,0.80824,0.90651,0.68553,0.92154,0.67253,1.4205,0.0008912,0.0008912,0.0008912
58,10356.5,0.89013,0.83394,1.36632,0.90849,0.80089,0.90646,0.67925,0.93287,0.67211,1.42926,0.0008714,0.0008714,0.0008714
59,10536.9,0.89046,0.83364,1.36783,0.92549,0.789,0.90932,0.68226,0.9384,0.66749,1.43575,0.0008516,0.0008516,0.0008516
60,10718.5,0.88051,0.82515,1.36391,0.90835,0.81278,0.91162,0.69568,0.91224,0.66157,1.42161,0.0008318,0.0008318,0.0008318
61,10898.1,0.88059,0.81668,1.35935,0.87194,0.82958,0.90368,0.68603,0.91535,0.67671,1.4164,0.000812,0.000812,0.000812
62,11079.7,0.87925,0.81853,1.3583,0.91634,0.8138,0.91566,0.68971,0.89802,0.64647,1.39713,0.0007922,0.0007922,0.0007922
63,11259.1,0.87472,0.81433,1.35173,0.92572,0.80684,0.91318,0.69098,0.91699,0.6547,1.41839,0.0007724,0.0007724,0.0007724
64,11438.8,0.86185,0.80102,1.34804,0.91753,0.80684,0.91443,0.69487,0.90095,0.64333,1.41849,0.0007526,0.0007526,0.0007526
65,11620.9,0.863,0.78835,1.34429,0.92503,0.80238,0.9149,0.6958,0.90684,0.63508,1.40199,0.0007328,0.0007328,0.0007328
66,11803,0.86617,0.78446,1.34625,0.90851,0.83358,0.91454,0.69385,0.91105,0.63876,1.40578,0.000713,0.000713,0.000713
67,11986.4,0.86556,0.79829,1.34825,0.89525,0.82543,0.91312,0.69132,0.92024,0.64652,1.42254,0.0006932,0.0006932,0.0006932
68,12168.7,0.85709,0.79062,1.34216,0.8724,0.85336,0.92086,0.69798,0.91313,0.63164,1.40946,0.0006734,0.0006734,0.0006734
69,12349.2,0.8523,0.77739,1.33241,0.90911,0.82169,0.91825,0.69201,0.92556,0.63289,1.41236,0.0006536,0.0006536,0.0006536
70,12529.6,0.8577,0.77835,1.34027,0.89109,0.83883,0.91511,0.69406,0.90705,0.62167,1.40384,0.0006338,0.0006338,0.0006338
71,12710,0.85284,0.77324,1.33548,0.91666,0.82021,0.9172,0.69782,0.90306,0.6244,1.39074,0.000614,0.000614,0.000614
72,12889.5,0.83465,0.75484,1.32373,0.88266,0.84993,0.91911,0.69587,0.90082,0.6216,1.39728,0.0005942,0.0005942,0.0005942
73,13070.2,0.84506,0.76713,1.33088,0.91921,0.82467,0.92055,0.69938,0.90158,0.61683,1.39516,0.0005744,0.0005744,0.0005744
74,13250.7,0.83343,0.75705,1.3226,0.88578,0.8529,0.9208,0.6945,0.90162,0.62131,1.39339,0.0005546,0.0005546,0.0005546
75,13431.7,0.83214,0.74715,1.32,0.89676,0.83358,0.91606,0.69568,0.9019,0.62482,1.39541,0.0005348,0.0005348,0.0005348
76,13614.4,0.84134,0.75632,1.32444,0.89212,0.83507,0.91917,0.69293,0.89573,0.62149,1.39734,0.000515,0.000515,0.000515
77,13796.6,0.83803,0.75662,1.32667,0.90707,0.83952,0.9184,0.69508,0.89199,0.63142,1.3964,0.0004952,0.0004952,0.0004952
78,13978.5,0.8303,0.76253,1.31944,0.90308,0.84456,0.91846,0.69586,0.89777,0.61746,1.39318,0.0004754,0.0004754,0.0004754
79,14160.1,0.83098,0.74459,1.32008,0.91581,0.84101,0.91949,0.69276,0.90357,0.62598,1.39489,0.0004556,0.0004556,0.0004556
80,14340,0.81654,0.72367,1.30841,0.90277,0.84157,0.91739,0.69673,0.90401,0.61664,1.38696,0.0004358,0.0004358,0.0004358
81,14518.9,0.80855,0.72238,1.30493,0.90231,0.85087,0.91853,0.69635,0.90084,0.61969,1.38584,0.000416,0.000416,0.000416
82,14696.5,0.8197,0.73076,1.3045,0.92009,0.83829,0.92282,0.69613,0.90173,0.60871,1.39413,0.0003962,0.0003962,0.0003962
83,14876.8,0.81533,0.72202,1.30715,0.9171,0.83836,0.92011,0.69925,0.88407,0.60371,1.37935,0.0003764,0.0003764,0.0003764
84,15055.1,0.81462,0.7229,1.30932,0.91746,0.84101,0.92151,0.69614,0.88942,0.60354,1.38089,0.0003566,0.0003566,0.0003566
85,15232.2,0.82015,0.72628,1.31126,0.90265,0.84044,0.92227,0.69971,0.88325,0.60108,1.37571,0.0003368,0.0003368,0.0003368
86,15411.6,0.80903,0.71192,1.30036,0.90865,0.84249,0.92234,0.70079,0.87806,0.60415,1.37242,0.000317,0.000317,0.000317
87,15589.6,0.80423,0.70109,1.29762,0.91193,0.83358,0.91816,0.70544,0.87383,0.60395,1.36865,0.0002972,0.0002972,0.0002972
88,15767.5,0.80343,0.70118,1.29553,0.91021,0.84398,0.92324,0.70555,0.88175,0.60123,1.36882,0.0002774,0.0002774,0.0002774
89,15945.5,0.8022,0.70604,1.2996,0.91477,0.84523,0.92192,0.70758,0.87895,0.59666,1.36522,0.0002576,0.0002576,0.0002576
90,16124.6,0.79684,0.69836,1.29188,0.91759,0.8321,0.92103,0.70468,0.88327,0.59915,1.37216,0.0002378,0.0002378,0.0002378
91,16303,0.7209,0.54951,1.27512,0.91433,0.84547,0.9226,0.70388,0.88194,0.5969,1.37145,0.000218,0.000218,0.000218
92,16480.5,0.71987,0.52926,1.27636,0.90431,0.84256,0.92532,0.70379,0.88489,0.59812,1.37192,0.0001982,0.0001982,0.0001982
93,16659.9,0.70258,0.51205,1.25932,0.91205,0.8425,0.92817,0.70388,0.8804,0.59568,1.3696,0.0001784,0.0001784,0.0001784
94,16838.7,0.70834,0.5085,1.2593,0.89722,0.84313,0.92715,0.70435,0.87695,0.59394,1.36981,0.0001586,0.0001586,0.0001586
95,17016,0.69886,0.4885,1.24747,0.90461,0.85141,0.92639,0.70604,0.87763,0.5904,1.37319,0.0001388,0.0001388,0.0001388
96,17194.3,0.69498,0.49566,1.25656,0.89365,0.84844,0.9233,0.70364,0.87749,0.59108,1.37454,0.000119,0.000119,0.000119
97,17372.4,0.69231,0.48759,1.24843,0.89399,0.85207,0.92342,0.70686,0.87327,0.59109,1.37244,9.92e-05,9.92e-05,9.92e-05
98,17549.5,0.6905,0.48035,1.24029,0.91451,0.84239,0.92518,0.70865,0.87566,0.58974,1.37285,7.94e-05,7.94e-05,7.94e-05
99,17726.3,0.68314,0.4792,1.23612,0.92074,0.83804,0.92733,0.70957,0.87588,0.58764,1.37343,5.96e-05,5.96e-05,5.96e-05
100,17902.6,0.67477,0.47332,1.23454,0.90184,0.8464,0.92496,0.7099,0.87691,0.58477,1.37399,3.98e-05,3.98e-05,3.98e-05
